file,rows,start,end,speed_null,speed_min,speed_max,speed_mean,speed_std,speed_unique,speed_zero,speed_negative,ff_null,ff_min,ff_max,ff_mean,ff_negative,speed_above_ff,speed_above_ff_pct,congestion_null,congestion_min,congestion_max,congestion_mean,congestion_negative,congestion_above_1,confidence_null,confidence_min,confidence_max,confidence_mean,confidence_below_0,confidence_above_1,road_closure_count,flag_near_constant_speed,flag_extreme_speed,flag_confidence,flag_congestion,num_flags
tt_kramatraya.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,0,6.0,27.0,25.08974358974359,3.6101324753192494,16,0,0,0,26.0,30.0,27.056410256410256,0,0,0.0,0,0.0,0.8,0.07193820898949103,0,0,0,0.987516,1.0,0.9999340769230769,0,0,0,False,False,False,False,0
tt_lebakbulus.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,0,14.0,32.0,24.953846153846154,5.849696063725634,12,0,0,0,30.0,32.0,31.41025641025641,0,0,0.0,0,0.0,0.5625,0.20806175902950097,0,0,0,0.98,1.0,0.9994272615384615,0,0,0,False,False,False,False,0
tt_lentengagung.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,0,8.0,48.0,46.53846153846154,4.427921189331198,12,0,0,0,46.0,48.0,47.88974358974359,0,0,0.0,0,0.0,0.8260869565217391,0.028733732220087443,0,0,0,0.975721,1.0,0.9998928076923077,0,0,0,False,False,False,False,0
tt_mampang.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,0,19.0,34.0,30.294871794871796,4.0048459539196495,16,0,0,0,32.0,35.0,33.95384615384615,0,0,0.0,0,0.0,0.4571428571428572,0.10696434284669577,0,0,0,0.936961,1.0,0.9995165923076923,0,0,0,False,False,False,False,0
tt_manggadua.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,0,19.0,35.0,32.34871794871795,4.591423310687977,13,0,0,0,34.0,36.0,34.95384615384615,0,0,0.0,0,0.0,0.4722222222222222,0.07471138882903587,0,0,0,0.969901,1.0,0.998537305128205,0,0,0,False,False,False,False,0
tt_martadinata.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,0,17.0,35.0,31.953846153846154,3.958385466735498,14,0,0,0,33.0,36.0,34.823076923076925,0,0,0.0,0,0.0,0.5142857142857142,0.08301058418705477,0,0,0,0.65,1.0,0.991697076923077,0,0,0,False,False,False,False,0
tt_matraman.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,0,26.0,41.0,36.176923076923075,4.849082893093635,14,0,0,0,41.0,42.0,41.166666666666664,0,0,0.0,0,0.0,0.3809523809523809,0.12067661335954016,0,0,0,0.9984,1.0,0.9999511564102564,0,0,0,False,False,False,False,0
tt_merak_toll_e.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,0,14.0,25.0,23.67948717948718,2.5678133783645,8,0,0,0,23.0,25.0,24.794871794871796,0,0,0.0,0,0.0,0.4166666666666666,0.0463210702341137,0,0,0,0.934421,1.0,0.9974338487179486,0,0,0,False,False,False,False,0
tt_otista.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,0,15.0,24.0,22.025641025641026,2.761162709966396,10,0,0,0,23.0,25.0,23.99230769230769,0,0,0.0,0,0.0,0.375,0.08196618357487921,0,0,0,0.838218,1.0,0.9893991410256411,0,0,0,False,False,False,False,0
tt_pemuda.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,0,21.0,39.0,38.276923076923076,2.751999650495952,11,0,0,0,38.0,39.0,38.96153846153846,0,0,0.0,0,0.0,0.4615384615384615,0.01778781272708398,0,0,0,0.963859,1.0,0.9991033333333333,0,0,0,False,False,False,False,0
tt_perintis.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,0,14.0,27.0,24.00769230769231,3.610530486440177,14,0,0,0,26.0,27.0,26.858974358974358,0,0,0.0,0,0.0,0.4615384615384615,0.10681569143107605,0,0,0,0.526293,1.0,0.9482494205128205,0,0,0,False,False,False,False,0
tt_pluit.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,0,32.0,51.0,50.03076923076923,3.320742154339311,13,0,0,0,50.0,51.0,50.96923076923077,0,0,0.0,0,0.0,0.3725490196078431,0.018533936651583708,0,0,0,1.0,1.0,1.0,0,0,0,False,False,False,False,0
tt_pondokindah.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,0,8.0,21.0,16.364102564102563,3.2765810116187195,14,0,0,0,18.0,23.0,19.28205128205128,0,0,0.0,0,0.0,0.5909090909090908,0.15105375258693335,0,0,0,0.967421,1.0,0.9968307025641024,0,0,0,False,False,False,False,0
tt_pospengumben.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,0,16.0,28.0,25.58205128205128,3.096093549504968,12,0,0,0,27.0,29.0,28.23846153846154,0,0,0.0,0,0.0,0.4482758620689655,0.09287760983163282,0,0,0,0.952039,1.0,0.9961133333333333,0,0,0,False,False,False,False,0
tt_pramuka.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,0,26.0,43.0,38.09487179487179,5.243551491664022,14,0,0,0,42.0,44.0,43.04871794871795,0,0,0.0,0,0.0,0.3953488372093023,0.11491015444503815,0,0,0,0.996154,1.0,0.9999553128205129,0,0,0,False,False,False,False,0
tt_purikembangan.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,0,14.0,77.0,71.9025641025641,11.304877287166164,28,0,0,0,75.0,78.0,76.8974358974359,0,0,0.0,0,0.0,0.8181818181818181,0.0652360100538238,0,0,0,1.0,1.0,1.0,0,0,0,False,False,False,False,0
tt_ragunan.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,0,16.0,28.0,23.328205128205127,4.32722883223832,10,0,0,0,27.0,29.0,27.953846153846154,0,0,0.0,0,0.0,0.4482758620689655,0.1655250773066865,0,0,0,0.998236,1.0,0.9999902743589745,0,0,0,False,False,False,False,0
tt_rayabekasi_cakung.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,0,18.0,36.0,32.805128205128206,4.4320606149482185,16,0,0,0,35.0,38.0,36.246153846153845,0,0,0.0,0,0.0,0.5135135135135135,0.09393654209443682,0,0,0,0.840094,1.0,0.992516076923077,0,0,0,False,False,False,False,0
tt_salemba.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,0,21.0,35.0,31.77948717948718,4.000975426516442,15,0,0,0,33.0,36.0,34.784615384615385,0,0,0.0,0,0.0,0.4,0.08624366918484565,0,0,0,0.98053,1.0,0.9985584153846153,0,0,0,False,False,False,False,0
tt_supomo.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,0,4.0,48.0,44.83076923076923,8.090876954644333,25,0,0,0,46.0,50.0,47.90769230769231,0,0,0.0,0,0.0,0.9166666666666666,0.06470732849224985,0,0,0,1.0,1.0,1.0,0,0,0,False,False,False,False,0
tt_tambun.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,0,24.0,37.0,34.825641025641026,2.8833996954928223,13,0,0,0,37.0,39.0,37.26923076923077,0,0,0.0,0,0.0,0.3513513513513513,0.06492532707107605,0,0,0,0.920357,1.0,0.9931827461538462,0,0,0,False,False,False,False,0
tt_tendean.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,0,6.0,39.0,29.371794871794872,11.055723516672009,29,0,0,0,36.0,41.0,38.702564102564104,0,0,0.0,0,0.0,0.8421052631578947,0.24290313537820205,0,0,0,0.99,1.0,0.9998979333333333,0,0,0,False,False,False,False,0
